motor:,Hypertek 835CC172J-J317
contributor:,John Coker
details:,https://www.thrustcurve.org/simfiles/5f4294d20002e900000000dd/
1758g,712g
Time (s),Thrust (N)
0.071,438.483
0.215,471.024
0.358,459.716
0.502,447.348
0.647,431.653
0.792,418.545
0.935,407.806
1.079,400.212
1.223,395.752
1.368,382.516
1.513,372.89
1.656,368.033
1.8,349.298
1.944,336.071
2.089,324.486
2.233,301.205
2.377,233.601
2.521,176.972
2.665,132.539
2.809,96.229
2.954,69.718
3.098,49.457
3.242,33.983
3.385,23.063
3.53,16.524
3.675,0
