motor:,Hypertek 835CC172JFX-J330FX
contributor:,John Coker
details:,https://www.thrustcurve.org/simfiles/5f4294d20002e900000000df/
1777g, 727g
Time (s),Thrust (N)
0.068,453.5
0.206,485.741
0.345,476.873
0.483,463.622
0.623,439.951
0.761,423.26
0.9,426.386
1.04,415.245
1.178,443.371
1.317,431.352
1.456,407.015
1.595,392.143
1.733,390.332
1.872,360.092
2.01,334.24
2.15,307.215
2.289,225.611
2.427,169.224
2.567,126.562
2.705,93.167
2.844,68.293
2.983,48.099
3.122,32.856
3.26,21.857
3.4,15.193
3.54,0
