motor:,SystemsGo Goddard 50k (N2O/HTPB hybrid)
source:,"MODELLED by hybrid_sim, not a measured test-stand curve"
reference:,Sized for the SystemsGo Goddard brief - 50000 ft with a payload
propellant mass:,41.8887 kg

Time (s),Thrust (N)
0.0000,0.000
0.0357,3680.942
0.0715,5182.573
0.1072,5677.857
0.1429,5836.257
0.1786,5884.928
0.2144,5898.214
0.2501,5900.137
0.2858,5898.404
0.3215,5895.493
0.3573,5892.197
0.3930,5888.776
0.4287,5885.306
0.4644,5881.815
0.5002,5878.311
0.5359,5874.796
0.5716,5871.271
0.6073,5867.737
0.6431,5864.193
0.6788,5860.640
0.7145,5857.077
0.7502,5853.504
0.7860,5849.921
0.8217,5846.328
0.8574,5842.726
0.8932,5839.113
0.9289,5835.490
0.9646,5831.856
1.0003,5828.212
1.0361,5824.558
1.0718,5820.893
1.1075,5817.218
1.1432,5813.531
1.1790,5809.834
1.2147,5806.126
1.2504,5802.407
1.2861,5798.677
1.3219,5794.936
1.3576,5791.184
1.3933,5787.420
1.4290,5783.645
1.4648,5779.858
1.5005,5776.060
1.5362,5772.250
1.5719,5768.428
1.6077,5764.594
1.6434,5760.749
1.6791,5756.891
1.7149,5753.021
1.7506,5749.139
1.7863,5745.245
1.8220,5741.338
1.8578,5737.419
1.8935,5733.488
1.9292,5729.543
1.9649,5725.586
2.0007,5721.616
2.0364,5717.633
2.0721,5713.638
2.1078,5709.629
2.1436,5705.606
2.1793,5701.571
2.2150,5697.522
2.2507,5693.460
2.2865,5689.384
2.3222,5685.295
2.3579,5681.191
2.3936,5677.074
2.4294,5672.943
2.4651,5668.798
2.5008,5664.639
2.5366,5660.466
2.5723,5656.279
2.6080,5652.077
2.6437,5647.860
2.6795,5643.629
2.7152,5639.383
2.7509,5635.123
2.7866,5630.848
2.8224,5626.557
2.8581,5622.252
2.8938,5617.932
2.9295,5613.596
2.9653,5609.245
3.0010,5604.878
3.0367,5600.496
3.0724,5596.098
3.1082,5591.685
3.1439,5587.256
3.1796,5582.811
3.2153,5578.349
3.2511,5573.872
3.2868,5569.379
3.3225,5564.869
3.3582,5560.342
3.3940,5555.799
3.4297,5551.240
3.4654,5546.664
3.5012,5542.071
3.5369,5537.461
3.5726,5532.833
3.6083,5528.189
3.6441,5523.528
3.6798,5518.849
3.7155,5514.153
3.7512,5509.439
3.7870,5504.707
3.8227,5499.958
3.8584,5495.190
3.8941,5490.405
3.9299,5485.602
3.9656,5480.780
4.0013,5475.940
4.0370,5471.082
4.0728,5466.205
4.1085,5461.310
4.1442,5456.395
4.1799,5451.462
4.2157,5446.510
4.2514,5441.539
4.2871,5436.548
4.3229,5431.538
4.3586,5426.509
4.3943,5421.460
4.4300,5416.392
4.4658,5411.303
4.5015,5406.195
4.5372,5401.067
4.5729,5395.918
4.6087,5390.750
4.6444,5385.561
4.6801,5380.351
4.7158,5375.121
4.7516,5369.870
4.7873,5364.599
4.8230,5359.306
4.8587,5353.992
4.8945,5348.657
4.9302,5343.301
4.9659,5337.923
5.0016,5332.524
5.0374,5327.103
5.0731,5321.660
5.1088,5316.195
5.1446,5310.708
5.1803,5305.199
5.2160,5299.667
5.2517,5294.113
5.2875,5288.537
5.3232,5282.938
5.3589,5277.315
5.3946,5271.670
5.4304,5266.002
5.4661,5260.311
5.5018,5254.596
5.5375,5248.857
5.5733,5243.095
5.6090,5237.310
5.6447,5231.500
5.6804,5225.666
5.7162,5219.808
5.7519,5213.926
5.7876,5208.019
5.8233,5202.088
5.8591,5196.132
5.8948,5190.151
5.9305,5184.146
5.9663,5178.115
6.0020,5172.058
6.0377,5165.977
6.0734,5159.869
6.1092,5153.737
6.1449,5147.578
6.1806,5141.393
6.2163,5135.182
6.2521,5128.945
6.2878,5122.681
6.3235,5116.391
6.3592,5110.074
6.3950,5103.731
6.4307,5097.360
6.4664,5090.962
6.5021,5084.537
6.5379,5078.084
6.5736,5071.604
6.6093,5065.096
6.6450,5058.561
6.6808,5051.997
6.7165,5045.405
6.7522,5038.784
6.7880,5032.135
6.8237,5025.458
6.8594,5018.752
6.8951,5012.016
6.9309,5005.252
6.9666,4998.458
7.0023,4991.635
7.0380,4984.783
7.0738,4977.900
7.1095,4970.988
7.1452,4964.046
7.1809,4957.073
7.2167,4950.070
7.2524,4943.037
7.2881,4935.973
7.3238,4928.878
7.3596,4921.752
7.3953,4914.595
7.4310,4907.407
7.4667,4900.187
7.5025,4892.935
7.5382,4885.652
7.5739,4878.337
7.6097,4870.990
7.6454,4863.610
7.6811,4856.198
7.7168,4848.753
7.7526,4841.276
7.7883,4833.766
7.8240,4826.222
7.8597,4818.645
7.8955,4811.035
7.9312,4803.391
7.9669,4795.714
8.0026,4788.002
8.0384,4780.257
8.0741,4772.477
8.1098,4764.663
8.1455,4756.814
8.1813,4748.931
8.2170,4741.012
8.2527,4733.059
8.2884,4725.070
8.3242,4717.045
8.3599,4708.986
8.3956,4700.890
8.4314,4692.759
8.4671,4684.591
8.5028,4676.387
8.5385,4668.147
8.5743,4659.871
8.6100,4651.557
8.6457,4643.207
8.6814,4634.819
8.7172,4626.394
8.7529,4617.932
8.7886,4609.433
8.8243,4600.895
8.8601,4592.320
8.8958,4583.707
8.9315,4575.055
8.9672,4566.365
9.0030,4557.637
9.0387,4548.870
9.0744,4540.064
9.1101,4531.219
9.1459,4522.334
9.1816,4513.411
9.2173,4504.448
9.2531,4495.445
9.2888,4486.402
9.3245,4477.320
9.3602,4468.197
9.3960,4459.034
9.4317,4449.831
9.4674,4440.587
9.5031,4431.303
9.5389,4421.977
9.5746,4412.610
9.6103,4403.203
9.6460,4393.754
9.6818,4384.263
9.7175,4374.731
9.7532,4365.157
9.7889,4355.541
9.8247,4345.883
9.8604,4336.183
9.8961,4326.441
9.9318,4316.656
9.9676,4306.828
10.0033,4296.958
10.0390,4287.045
10.0747,4277.089
10.1105,4267.090
10.1462,4257.048
10.1819,4246.962
10.2177,4236.833
10.2534,4226.660
10.2891,4216.444
10.3248,4206.183
10.3606,4195.879
10.3963,4185.531
10.4320,4175.138
10.4677,4164.701
10.5035,4154.221
10.5392,4143.695
10.5749,4133.125
10.6106,4122.510
10.6464,4111.851
10.6821,4101.146
10.7178,4090.397
10.7535,4079.603
10.7893,4068.763
10.8250,4057.878
10.8607,4046.949
10.8964,4035.974
10.9322,4024.953
10.9679,4013.887
11.0036,4002.776
11.0394,3991.619
11.0751,3980.416
11.1108,3969.168
11.1465,3957.874
11.1823,3946.535
11.2180,3935.149
11.2537,3923.718
11.2894,3912.241
11.3252,3900.718
11.3609,3889.149
11.3966,3877.535
11.4323,3865.874
11.4681,3854.168
11.5038,3842.416
11.5395,3830.617
11.5752,3818.773
11.6110,3806.883
11.6467,3794.947
11.6824,3782.965
11.7181,3770.938
11.7539,3758.865
11.7896,3746.746
11.8253,3734.581
11.8611,3722.371
11.8968,3710.115
11.9325,3697.813
11.9682,3685.466
12.0040,3673.074
12.0397,3660.637
12.0754,3648.154
12.1111,3635.626
12.1469,3623.053
12.1826,3610.435
12.2183,3597.773
12.2540,3585.066
12.2898,3572.314
12.3255,3559.517
12.3612,3546.677
12.3969,3533.793
12.4327,3520.864
12.4684,3507.891
12.5041,3494.876
12.5398,3481.816
12.5756,3468.713
12.6113,3455.567
12.6470,3442.379
12.6828,3429.147
12.7185,3415.873
12.7542,3402.557
12.7899,3389.199
12.8257,3375.798
12.8614,3362.357
12.8971,3348.874
12.9328,3335.350
12.9686,3321.785
13.0043,3308.180
13.0400,3294.534
13.0757,3280.848
13.1115,3268.000
13.1472,3255.371
13.1829,3242.707
13.2186,3230.007
13.2544,3217.272
13.2901,3204.502
13.3258,3191.697
13.3615,3178.859
13.3973,3165.986
13.4330,3153.031
13.4687,3139.941
13.5045,3126.784
13.5402,3113.590
13.5759,3100.361
13.6116,3087.102
13.6474,3073.811
13.6831,3060.488
13.7188,3047.135
13.7545,3033.753
13.7903,3020.339
13.8260,3006.897
13.8617,2993.426
13.8974,2979.928
13.9332,2966.399
13.9689,2952.845
14.0046,2939.264
14.0403,2925.656
14.0761,2912.021
14.1118,2898.362
14.1475,2884.678
14.1832,2870.969
14.2190,2857.236
14.2547,2843.481
14.2904,2829.701
14.3262,2815.899
14.3619,2802.077
14.3976,2788.233
14.4333,2774.367
14.4691,2760.482
14.5048,2746.579
14.5405,2732.655
14.5762,2718.713
14.6120,2704.754
14.6477,2690.779
14.6834,2676.785
14.7191,2662.776
14.7549,2648.754
14.7906,2634.715
14.8263,2620.662
14.8620,2606.597
