motor:,SystemsGo Goddard baseline (N2O/HTPB hybrid)
source:,"MODELLED by hybrid_sim, not a measured test-stand curve"
reference:,hybrid_sim/excel_ref.json - independent spreadsheet model
propellant mass:,6.0494 kg

Time (s),Thrust (N)
0.0000,0.000
0.0270,710.675
0.0540,1127.914
0.0810,1264.454
0.1081,1303.173
0.1351,1313.144
0.1621,1315.065
0.1891,1314.757
0.2161,1313.836
0.2431,1312.744
0.2702,1311.603
0.2972,1310.446
0.3242,1309.283
0.3512,1308.117
0.3782,1306.947
0.4052,1305.774
0.4323,1304.582
0.4593,1303.381
0.4863,1302.174
0.5133,1300.965
0.5403,1299.752
0.5673,1298.537
0.5944,1297.318
0.6214,1296.097
0.6484,1294.872
0.6754,1293.645
0.7024,1292.414
0.7294,1291.180
0.7565,1289.943
0.7835,1288.703
0.8105,1287.460
0.8375,1286.214
0.8645,1284.964
0.8915,1283.711
0.9186,1282.454
0.9456,1281.194
0.9726,1279.931
0.9996,1278.664
1.0266,1277.394
1.0536,1276.121
1.0807,1274.843
1.1077,1273.563
1.1347,1272.278
1.1617,1270.990
1.1887,1269.699
1.2157,1268.404
1.2427,1267.105
1.2698,1265.802
1.2968,1264.496
1.3238,1263.185
1.3508,1261.871
1.3778,1260.554
1.4048,1259.232
1.4319,1257.906
1.4589,1256.577
1.4859,1255.243
1.5129,1253.906
1.5399,1252.564
1.5669,1251.219
1.5940,1249.869
1.6210,1248.516
1.6480,1247.158
1.6750,1245.796
1.7020,1244.430
1.7290,1243.060
1.7561,1241.686
1.7831,1240.307
1.8101,1238.924
1.8371,1237.537
1.8641,1236.146
1.8911,1234.750
1.9182,1233.350
1.9452,1231.946
1.9722,1230.537
1.9992,1229.124
2.0262,1227.706
2.0532,1226.284
2.0803,1224.857
2.1073,1223.426
2.1343,1221.990
2.1613,1220.550
2.1883,1219.105
2.2153,1217.655
2.2424,1216.201
2.2694,1214.742
2.2964,1213.279
2.3234,1211.810
2.3504,1210.337
2.3774,1208.860
2.4044,1207.377
2.4315,1205.890
2.4585,1204.397
2.4855,1202.900
2.5125,1201.398
2.5395,1199.891
2.5665,1198.380
2.5936,1196.863
2.6206,1195.341
2.6476,1193.814
2.6746,1192.283
2.7016,1190.746
2.7286,1189.204
2.7557,1187.657
2.7827,1186.105
2.8097,1184.547
2.8367,1182.985
2.8637,1181.417
2.8907,1179.845
2.9178,1178.267
2.9448,1176.683
2.9718,1175.095
2.9988,1173.501
3.0258,1171.902
3.0528,1170.297
3.0799,1168.687
3.1069,1167.072
3.1339,1165.451
3.1609,1163.825
3.1879,1162.193
3.2149,1160.556
3.2420,1158.913
3.2690,1157.265
3.2960,1155.611
3.3230,1153.952
3.3500,1152.287
3.3770,1150.616
3.4041,1148.940
3.4311,1147.258
3.4581,1145.570
3.4851,1143.877
3.5121,1142.178
3.5391,1140.473
3.5661,1138.762
3.5932,1137.046
3.6202,1135.324
3.6472,1133.596
3.6742,1131.862
3.7012,1130.122
3.7282,1128.376
3.7553,1126.624
3.7823,1124.866
3.8093,1123.103
3.8363,1121.333
3.8633,1119.557
3.8903,1117.775
3.9174,1115.987
3.9444,1114.193
3.9714,1112.393
3.9984,1110.587
4.0254,1108.775
4.0524,1106.956
4.0795,1105.131
4.1065,1103.300
4.1335,1101.463
4.1605,1099.619
4.1875,1097.769
4.2145,1095.913
4.2416,1094.051
4.2686,1092.182
4.2956,1090.306
4.3226,1088.425
4.3496,1086.537
4.3766,1084.642
4.4037,1082.741
4.4307,1080.834
4.4577,1078.920
4.4847,1077.000
4.5117,1075.072
4.5387,1073.139
4.5658,1071.199
4.5928,1069.252
4.6198,1067.299
4.6468,1065.339
4.6738,1063.372
4.7008,1061.399
4.7278,1059.419
4.7549,1057.432
4.7819,1055.439
4.8089,1053.438
4.8359,1051.432
4.8629,1049.418
4.8899,1047.397
4.9170,1045.370
4.9440,1043.335
4.9710,1041.295
4.9980,1039.246
5.0250,1037.192
5.0520,1035.130
5.0791,1033.062
5.1061,1030.985
5.1331,1028.903
5.1601,1026.813
5.1871,1024.717
5.2141,1022.614
5.2412,1020.503
5.2682,1018.386
5.2952,1016.261
5.3222,1014.130
5.3492,1011.990
5.3762,1009.845
5.4033,1007.692
5.4303,1005.532
5.4573,1003.364
5.4843,1001.191
5.5113,999.009
5.5383,996.821
5.5654,994.624
5.5924,992.422
5.6194,990.212
5.6464,987.994
5.6734,985.770
5.7004,983.537
5.7275,981.299
5.7545,979.052
5.7815,976.799
5.8085,974.537
5.8355,972.270
5.8625,969.994
5.8895,967.712
5.9166,965.422
5.9436,963.124
5.9706,960.820
5.9976,958.508
6.0246,956.189
6.0516,953.862
6.0787,951.529
6.1057,949.187
6.1327,946.839
6.1597,944.482
6.1867,942.120
6.2137,939.749
6.2408,937.371
6.2678,934.986
6.2948,932.593
6.3218,930.194
6.3488,927.785
6.3758,925.372
6.4029,922.948
6.4299,920.521
6.4569,918.082
6.4839,915.640
6.5109,913.187
6.5379,910.729
6.5650,908.263
6.5920,905.790
6.6190,903.309
6.6460,900.821
6.6730,898.327
6.7000,895.822
6.7271,893.315
6.7541,890.795
6.7811,888.273
6.8081,885.739
6.8351,883.202
6.8621,880.655
6.8892,878.102
6.9162,875.542
6.9432,872.973
6.9702,870.400
6.9972,867.816
7.0242,865.229
7.0512,862.631
7.0783,860.029
7.1053,857.417
7.1323,854.800
7.1593,852.176
7.1863,849.543
7.2133,846.906
7.2404,844.259
7.2674,841.608
7.2944,838.947
7.3214,836.281
7.3484,833.608
7.3754,830.927
7.4025,828.241
7.4295,825.545
7.4565,822.847
7.4835,820.138
7.5105,817.425
7.5375,814.704
7.5646,811.975
7.5916,809.243
7.6186,806.501
7.6456,803.755
7.6726,801.001
7.6996,798.240
7.7267,795.475
7.7537,792.700
7.7807,789.923
7.8077,787.136
7.8347,784.344
7.8617,781.547
7.8888,778.741
7.9158,775.932
7.9428,773.115
7.9698,770.292
7.9968,767.465
8.0238,764.629
8.0509,761.789
8.0779,758.943
8.1049,756.090
8.1319,753.234
8.1589,750.369
8.1859,747.500
8.2129,744.626
8.2400,741.745
8.2670,738.860
8.2940,735.969
8.3210,733.072
8.3480,730.172
8.3750,727.264
8.4021,724.351
8.4291,721.436
8.4561,718.512
8.4831,715.585
8.5101,712.654
8.5371,709.716
8.5642,706.776
8.5912,703.830
8.6182,700.877
8.6452,697.923
8.6722,694.964
8.6992,691.998
8.7263,689.031
8.7533,686.058
8.7803,683.080
8.8073,680.101
8.8343,677.116
8.8613,674.126
8.8884,671.135
8.9154,668.138
8.9424,665.137
8.9694,662.134
8.9964,659.128
9.0234,656.116
9.0505,653.103
9.0775,650.087
9.1045,647.065
9.1315,644.043
9.1585,641.013
9.1855,637.977
9.2126,634.936
9.2396,631.896
9.2666,628.852
9.2936,625.804
9.3206,622.755
9.3476,619.704
9.3746,616.650
9.4017,613.593
9.4287,610.536
9.4557,607.477
9.4827,604.415
9.5097,601.351
9.5367,598.287
9.5638,595.221
9.5908,592.152
9.6178,589.083
9.6448,586.014
9.6718,582.943
9.6988,579.870
9.7259,576.797
9.7529,573.725
9.7799,570.651
9.8069,567.575
9.8339,564.500
9.8609,561.425
9.8880,558.350
9.9150,555.274
9.9420,552.198
9.9690,549.123
9.9960,546.049
10.0230,542.974
10.0501,539.899
10.0771,536.826
10.1041,533.754
10.1311,530.683
10.1581,527.612
10.1851,524.541
10.2122,521.473
10.2392,518.406
10.2662,515.342
10.2932,512.277
10.3202,509.215
10.3472,506.154
10.3743,503.096
10.4013,500.041
10.4283,496.987
10.4553,493.934
10.4823,490.884
10.5093,487.838
10.5363,484.794
10.5634,481.753
10.5904,478.715
10.6174,475.680
10.6444,472.647
10.6714,469.618
10.6984,466.593
10.7255,463.571
10.7525,460.554
10.7795,457.539
10.8065,454.528
10.8335,451.521
10.8605,448.519
10.8876,445.520
10.9146,442.527
10.9416,439.538
10.9686,436.553
10.9956,433.574
11.0226,430.598
11.0497,427.628
11.0767,424.662
11.1037,421.702
11.1307,418.747
11.1577,415.798
11.1847,412.854
11.2118,409.917
11.2388,406.984
11.2658,404.058
11.2928,401.138
11.3198,398.224
11.3468,395.324
11.3739,392.692
11.4009,390.067
11.4279,387.448
11.4549,384.834
11.4819,382.227
11.5089,379.626
11.5360,377.031
11.5630,374.443
11.5900,371.861
11.6170,369.286
11.6440,366.717
11.6710,364.155
11.6980,361.600
11.7251,359.052
11.7521,356.511
11.7791,353.977
11.8061,351.451
11.8331,348.931
11.8601,346.419
11.8872,343.915
11.9142,341.418
11.9412,338.928
11.9682,336.446
11.9952,333.972
12.0222,331.506
12.0493,329.048
12.0763,326.598
12.1033,324.155
12.1303,321.721
12.1573,319.295
12.1843,316.877
12.2114,314.468
12.2384,312.067
12.2654,309.674
12.2924,307.290
12.3194,304.915
12.3464,302.548
12.3735,300.190
12.4005,297.841
12.4275,295.501
12.4545,293.170
12.4815,290.847
12.5085,288.534
12.5356,286.229
12.5626,283.934
12.5896,281.648
12.6166,279.372
12.6436,277.104
12.6706,274.844
12.6977,272.586
12.7247,270.337
12.7517,268.097
12.7787,265.867
12.8057,263.646
12.8327,261.434
12.8597,259.232
12.8868,257.040
12.9138,254.857
12.9408,252.684
12.9678,250.520
12.9948,248.366
13.0218,246.223
13.0489,244.088
13.0759,241.963
13.1029,239.849
13.1299,237.744
13.1569,235.649
13.1839,233.564
13.2110,231.489
13.2380,229.424
13.2650,227.368
13.2920,225.323
13.3190,223.289
13.3460,221.263
13.3731,219.248
13.4001,217.244
13.4271,215.248
13.4541,213.264
13.4811,211.290
13.5081,209.325
13.5352,207.371
13.5622,205.427
13.5892,203.492
13.6162,201.569
13.6432,199.655
13.6702,197.751
13.6973,195.859
13.7243,193.975
13.7513,192.103
13.7783,190.240
13.8053,188.387
13.8323,186.546
13.8594,184.713
13.8864,182.892
13.9134,181.079
13.9404,179.278
13.9674,177.487
13.9944,175.706
14.0215,173.935
14.0485,172.174
14.0755,170.423
14.1025,168.683
14.1295,166.952
14.1565,165.232
14.1835,163.521
14.2106,161.817
14.2376,160.124
14.2646,158.440
14.2916,156.766
14.3186,155.103
14.3456,153.449
14.3727,151.806
14.3997,150.172
14.4267,148.547
14.4537,146.934
14.4807,145.329
14.5077,143.735
14.5348,142.150
14.5618,140.575
14.5888,139.010
14.6158,137.454
14.6428,135.908
14.6698,134.372
14.6969,132.846
14.7239,131.329
14.7509,129.822
14.7779,128.324
14.8049,126.836
14.8319,125.357
14.8590,123.888
14.8860,122.428
14.9130,120.978
14.9400,119.537
14.9670,118.105
14.9940,116.683
15.0211,115.270
15.0481,113.866
15.0751,112.472
15.1021,111.087
15.1291,109.711
15.1561,108.344
15.1832,106.986
15.2102,105.637
15.2372,104.297
15.2642,102.966
15.2912,101.645
15.3182,100.332
15.3452,99.027
15.3723,97.732
15.3993,96.445
15.4263,95.168
15.4533,93.899
15.4803,92.638
15.5073,91.387
15.5344,90.144
15.5614,88.909
15.5884,87.683
15.6154,86.466
15.6424,85.257
15.6694,84.056
15.6965,82.864
15.7235,81.680
15.7505,80.502
15.7775,79.332
15.8045,78.170
15.8315,77.017
15.8586,75.871
15.8856,74.733
15.9126,73.604
15.9396,72.482
15.9666,71.367
15.9936,70.261
16.0207,69.162
16.0477,68.072
16.0747,66.988
16.1017,65.913
16.1287,64.845
16.1557,63.785
16.1828,62.732
